Date,Open,High,Low,Close,Vol.,Change %,sent_score,sent-1,sent-3,sent-7,Close+1,Close+3,Close+7
2020-10-03,9085.67,9087.99,9082.27,9086.54,45315916.0,0.01,-0.075,-0.036505273503340305,-0.03651404102868386,-0.03654632747032856,9058.26,9069.41,9232.43
2020-10-04,9070.24,9070.24,9057.62,9058.26,2853547.0,-0.13,-0.1,-0.075,-0.03651404102868386,-0.03654632747032856,9135.46,9344.2,9288.34
2020-10-05,9128.82,9140.0,9128.82,9135.46,62097433.0,0.07,-0.1,-0.1,-0.03651404102868386,-0.03654632747032856,9069.41,9257.39,9234.03
2020-10-06,9086.94,9095.07,9067.44,9069.41,269833291.0,-0.19000000000000003,-0.06666666666666665,-0.1,-0.09166666666666667,-0.03654632747032856,9344.2,9436.06,9302.75
2020-10-07,9341.48,9344.36,9338.2,9344.2,46868863.0,0.03,-0.07500000000000001,-0.06666666666666665,-0.08888888888888889,-0.03654632747032856,9257.39,9232.43,9242.62
2020-10-08,9257.13,9258.04,9256.92,9257.39,8660599.0,0.0,-0.03,-0.07500000000000001,-0.08055555555555556,-0.03654632747032856,9436.06,9288.34,9255.85
2020-10-09,9437.06,9437.99,9435.08,9436.06,12183727.0,-0.01,-0.023076923076923075,-0.03,-0.05722222222222221,-0.03654632747032856,9232.43,9234.03,9197.6
2020-10-10,9232.45,9235.03,9231.73,9232.43,12916999.0,0.0,0.007692307692307693,-0.023076923076923075,-0.042692307692307696,-0.06710622710622711,9288.34,9302.75,9133.72
2020-10-11,9285.35,9288.73,9285.0,9288.34,9933757.0,0.030000000000000002,-0.2222222222222222,0.007692307692307693,-0.015128205128205128,-0.05529304029304029,9234.03,9242.62,9154.32
2020-10-12,9233.29,9234.43,9233.29,9234.03,7281374.0,0.01,0.06999999999999999,-0.2222222222222222,-0.0792022792022792,-0.07275335775335776,9302.75,9255.85,9170.28
2020-10-13,9298.47,9305.0,9298.46,9302.75,109816846.0,0.05,-0.16999999999999998,0.06999999999999999,-0.04817663817663818,-0.04846764346764346,9242.62,9197.6,9208.99
2020-10-14,9242.89,9243.15,9240.0,9242.62,14447544.0,0.0,0.01,-0.16999999999999998,-0.1074074074074074,-0.06322954822954822,9255.85,9133.72,9160.78
2020-10-15,9253.58,9255.87,9253.58,9255.85,10466544.0,0.02,-0.038461538461538464,0.01,-0.030000000000000002,-0.051086691086691075,9197.6,9154.32,9390.0
2020-10-16,9198.0,9198.02,9196.74,9197.6,21470021.0,0.0,-0.02727272727272728,-0.038461538461538464,-0.06615384615384616,-0.052295482295482296,9133.72,9170.28,9518.16
2020-10-17,9133.57,9135.13,9133.57,9133.72,12890839.0,0.0,-0.21764705882352942,-0.02727272727272728,-0.018578088578088583,-0.05289488289488289,9154.32,9208.99,9603.27
2020-10-18,9154.77,9154.96,9154.08,9154.32,8154797.0,0.0,-0.18666666666666665,-0.21764705882352942,-0.09446044151926507,-0.0850862209685739,9170.28,9160.78,9537.8
2020-10-19,9169.66,9171.07,9169.53,9170.28,7660319.0,0.01,-0.17500000000000002,-0.18666666666666665,-0.14386215092097446,-0.08000685588920883,9208.99,9390.0,9700.42
2020-10-20,9207.47,9208.99,9207.31,9208.99,12899296.0,0.02,-0.1285714285714286,-0.17500000000000002,-0.1931045751633987,-0.11500685588920881,9160.78,9518.16,9931.54
2020-10-21,9160.87,9161.31,9159.99,9160.78,7655184.0,0.0,-0.014285714285714287,-0.1285714285714286,-0.16341269841269843,-0.10908848854227006,9390.0,9603.27,11029.96
2020-10-22,9385.04,9390.0,9385.04,9390.0,28258018.0,0.05,-0.04545454545454544,-0.014285714285714287,-0.10595238095238096,-0.1125578762973721,9518.16,9537.8,10906.27
